Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
fly_servo_mechz,raw\sound\zmb\ai\mechz\servo\anim_ratc_srvo_01.LN50.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,80,0,75,75,250,1000,1750,allon,default,allon,default,3,4,oldest,oldest,-150,150,50,95,0.25,1,3d,default,nonlooping,,1,0,25,100,80,0.1,yes,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_servo_mechz,raw\sound\zmb\ai\mechz\servo\anim_ratc_srvo_02.LN50.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,80,0,75,75,250,1000,1750,allon,default,allon,default,3,4,oldest,oldest,-150,150,50,95,0.25,1,3d,default,nonlooping,,1,0,25,100,80,0.1,yes,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
zmb_ai_mechz_claw_back,raw\sound\zmb\ai\mechz\v2\claw\retract\retract.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,89,89,125,500,625,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,nonlooping,,1,0,100,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmb_ai_mechz_claw_fire,raw\sound\zmb\ai\mechz\v2\claw\fire\fire_00.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,89,89,500,1250,1750,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,nonlooping,,1,0,100,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmb_ai_mechz_claw_fire,raw\sound\zmb\ai\mechz\v2\claw\fire\fire_01.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,89,89,500,1250,1750,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,nonlooping,,1,0,100,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmb_ai_mechz_claw_fire,raw\sound\zmb\ai\mechz\v2\claw\fire\fire_02.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,89,89,500,1250,1750,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,nonlooping,,1,0,100,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmb_ai_mechz_claw_grab,raw\sound\zmb\ai\mechz\v2\claw\grab\grab.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,89,89,125,500,625,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,nonlooping,,1,0,100,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmb_ai_mechz_claw_loop_in,raw\sound\zmb\ai\mechz\v2\claw\loop_in.LL50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,78,78,250,1000,1500,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,looping,,1,0,100,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,yes,,0,,no,no,no
zmb_ai_mechz_claw_loop_out,raw\sound\zmb\ai\mechz\v2\claw\loop_out.LL50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,75,0,78,78,250,1000,1500,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,looping,,1,0,100,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,yes,,0,,no,no,no
zmb_ai_mechz_death_explode,raw\sound\zmb\ai\mechz\v2\death\explode.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,60,0,96,96,250,1000,1500,allon,default,allon,default,8,8,priority,oldest,0,0,75,95,0.25,1,3d,default,nonlooping,,1,0,50,125,99,0,yes,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
